com.medigy.persist.reference.type.clincial.Icd9.code,shortDescr,mediumDescr,longDescr
634.22,SPON ABORT W PELV DAMAG COMP,SPONTANEOUS ABORT W PELV DAMAG COMP,SPONTANEOUS ABORTION COMPLETE COMPLICATED BY DAMAGE TO PELVIC ORGANS OR TISSUES
634.3,SPON ABORT W RENAL FAIL UNSP,SPONTANEOUS ABORT W RENAL FAIL UNSP,SPONTANEOUS ABORTION UNSPECIFIED COMPLICATED BY RENAL FAILURE
634.31,SPON ABORT W RENAL FAIL INC,SPONTANEOUS ABORT W RENAL FAIL INC,SPONTANEOUS ABORTION INCOMPLETE COMPLICATED BY RENAL FAILURE
634.32,SPON ABORT W RENAL FAIL COMP,SPONTANEOUS ABORT W RENAL FAIL COMP,SPONTANEOUS ABORTION COMPLETE COMPLICATED BY RENAL FAILURE
634.4,SPON ABORT W METABOL DIS UNS,SPONTANEOUS ABORT W METABOL DIS UNS,SPONTANEOUS ABORTION UNSPECIFIED COMPLICATED BY METABOLIC DISORDER
634.41,SPON ABORT W METABOL DIS INC,SPONTANEOUS ABORT W METABOL DIS INC,SPONTANEOUS ABORTION INCOMPLETE COMPLICATED BY METABOLIC DISORDER
634.42,SPON ABORT W METAB DIS COMP,SPONTANEOUS ABORT W METAB DIS COMP,SPONTANEOUS ABORTION COMPLETE COMPLICATED BY METABOLIC DISORDER
634.5,SPON ABORT W SHOCK UNSP,SPONTANEOUS ABORT W SHOCK UNSP,SPONTANEOUS ABORTION UNSPECIFIED COMPLICATED BY SHOCK
634.51,SPON ABORT W SHOCK INC,SPONTANEOUS ABORT W SHOCK INC,SPONTANEOUS ABORTION INCOMPLETE COMPLICATED BY SHOCK
634.52,SPON ABORT W SHOCK COMP,SPONTANEOUS ABORT W SHOCK COMP,SPONTANEOUS ABORTION COMPLETE COMPLICATED BY SHOCK
634.6,SPON ABORT W EMBOL UNSP,SPONTANEOUS ABORT W EMBOL UNSP,SPONTANEOUS ABORTION UNSPECIFIED COMPLICATED BY EMBOLISM
634.61,SPON ABORT W EMBOL INC,SPONTANEOUS ABORT W EMBOL INC,SPONTANEOUS ABORTION INCOMPLETE COMPLICATED BY EMBOLISM
634.62,SPON ABORT W EMBOL COMP,SPONTANEOUS ABORT W EMBOL COMP,SPONTANEOUS ABORTION COMPLETE COMPLICATED BY EMBOLISM
634.7,SPON ABORT W COMPL OT UNSP,SPONTANEOUS ABORT W COMPL OT UNSP,SPONTANEOUS ABORTION UNSPECIFIED WITH OTHER SPECIFIED COMPLICATIONS
634.71,SPON ABORT W COMPL OT INC,SPONTANEOUS ABORT W COMPL OT INC,SPONTANEOUS ABORTION INCOMPLETE WITH OTHER SPECIFIED COMPLICATIONS
634.72,SPON ABORT W COMPL OT COMP,SPONTANEOUS ABORT W COMPL OT COMP,SPONTANEOUS ABORTION COMPLETE WITH OTHER SPECIFIED COMPLICATIONS
634.8,SPON AB W COMPL UNSP UNSP,SPONTANEOUS AB W COMPL UNSP UNSP,SPONTANEOUS ABORTION UNSPECIFIED WITH UNSPECIFIED COMPLICATION
634.81,SPON AB W COMPL UNSP INC,SPONTANEOUS AB W COMPL UNSP INC,SPONTANEOUS ABORTION INCOMPLETE WITH UNSPECIFIED COMPLICATION
634.82,SPON AB W COMPL UNSP COMP,SPONTANEOUS AB W COMPL UNSP COMP,SPONTANEOUS ABORTION COMPLETE WITH UNSPECIFIED COMPLICATION
634.9,SPON ABORT UNCOMPL UNSP,SPONTANEOUS ABORT UNCOMPL UNSP,SPONTANEOUS ABORTION UNSPECIFIED WITHOUT COMPLICATION
634.91,SPON ABORT UNCOMPL INC,SPONTANEOUS ABORT UNCOMPL INC,SPONTANEOUS ABORTION INCOMPLETE WITHOUT COMPLICATION
634.92,SPON ABORT UNCOMPL COMP,SPONTANEOUS ABORT UNCOMPL COMP,SPONTANEOUS ABORTION COMPLETE WITHOUT COMPLICATION
635,LEGAL ABORT W PELV INF UNSP,LEGAL ABORTION W PELV INF UNSP,LEGALLY INDUCED ABORTION UNSPECIFIED COMPLICATED BY GENITAL TRACT AND PELVIC INFECTION
635.01,LEGAL ABORT W PELV INF INC,LEGAL ABORTION W PELV INF INC,LEGALLY INDUCED ABORTION INCOMPLETE COMPLICATED BY GENITAL TRACT AND PELVIC INFECTION
635.02,LEGAL ABORT W PELV INF COMP,LEGAL ABORTION W PELV INF COMP,LEGALLY INDUCED ABORTION COMPLETE COMPLICATED BY GENITAL TRACT AND PELVIC INFECTION
635.1,LEGAL ABORT W HEMORR UNSP,LEGAL ABORTION W HEMORR UNSP,LEGALLY INDUCED ABORTION UNSPECIFIED COMPLICATED BY DELAYED OR EXCESSIVE HEMORRHAGE
635.11,LEGAL ABORT W HEMORR INC,LEGAL ABORTION W HEMORR INC,LEGALLY INDUCED ABORTION INCOMPLETE COMPLICATED BY DELAYED OR EXCESSIVE HEMORRHAGE
635.12,LEGAL ABORT W HEMORR COMP,LEGAL ABORTION W HEMORR COMP,LEGALLY INDUCED ABORTION COMPLETE COMPLICATED BY DELAYED OR EXCESSIVE HEMORRHAGE
635.2,LEGAL AB W PELV DAMAG UNSP,LEGAL ABORTION W PELV DAMAG UNSP,LEGALLY INDUCED ABORTION UNSPECIFIED COMPLICATED BY DAMAGE TO PELVIC ORGANS OR TISSUES
635.21,LEGAL AB W PELV DAMAG INC,LEGAL ABORTION W PELV DAMAG INC,LEGALLY INDUCED ABORTION INCOMPLETE COMPLICATED BY DAMAGE TO PELVIC ORGANS OR TISSUES
635.22,LEGAL AB W PELV DAMAG COMP,LEGAL ABORTION W PELV DAMAG COMP,LEGALLY INDUCED ABORTION COMPLETE COMPLICATED BY DAMAGE TO PELVIC ORGANS OR TISSUES
635.3,LEGAL ABORT W REN FAIL UNSP,LEGAL ABORTION W REN FAIL UNSP,LEGALLY INDUCED ABORTION UNSPECIFIED COMPLICATED BY RENAL FAILURE
635.31,LEGAL ABORT W REN FAIL INC,LEGAL ABORTION W REN FAIL INC,LEGALLY INDUCED ABORTION INCOMPLETE COMPLICATED BY RENAL FAILURE
635.32,LEGAL ABORT W REN FAIL COMP,LEGAL ABORTION W REN FAIL COMP,LEGALLY INDUCED ABORTION COMPLETE COMPLICATED BY RENAL FAILURE
635.4,LEGAL AB W METAB DIS UNSP,LEGAL ABORTION W METAB DIS UNSP,LEGALLY INDUCED ABORTION UNSPECIFIED COMPLICATED BY METABOLIC DISORDER
635.41,LEGAL AB W METAB DIS INC,LEGAL ABORTION W METAB DIS INC,LEGALLY INDUCED ABORTION INCOMPLETE COMPLICATED BY METABOLIC DISORDER
635.42,LEGAL AB W METAB DIS COMP,LEGAL ABORTION W METAB DIS COMP,LEGALLY INDUCED ABORTION COMPLETE COMPLICATED BY METABOLIC DISORDER
635.5,LEGAL ABORT W SHOCK UNSP,LEGAL ABORTION W SHOCK UNSP,LEGALLY INDUCED ABORTION UNSPECIFIED COMPLICATED BY SHOCK
635.51,LEGAL ABORT W SHOCK INC,LEGAL ABORTION W SHOCK INC,LEGALLY INDUCED ABORTION INCOMPLETE COMPLICATED BY SHOCK
635.52,LEGAL ABORT W SHOCK COMP,LEGAL ABORTION W SHOCK COMP,LEGALLY INDUCED ABORTION COMPLETE COMPLICATED BY SHOCK
635.6,LEGAL ABORT W EMBOL UNSP,LEGAL ABORTION W EMBOL UNSP,LEGALLY INDUCED ABORTION UNSPECIFIED COMPLICATED BY EMBOLISM
635.61,LEGAL ABORT W EMBOL INC,LEGAL ABORTION W EMBOL INC,LEGALLY INDUCED ABORTION INCOMPLETE COMPLICATED BY EMBOLISM
635.62,LEGAL ABORT W EMBOL COMP,LEGAL ABORTION W EMBOL COMP,LEGALLY INDUCED ABORTION COMPLETE COMPLICATED BY EMBOLISM
635.7,LEGAL AB W COMPL OT UNSP,LEGAL ABORTION W COMPL OT UNSP,LEGALLY INDUCED ABORTION UNSPECIFIED WITH OTHER SPECIFIED COMPLICATIONS
635.71,LEGAL AB W COMPL OT INC,LEGAL ABORTION W COMPL OT INC,LEGALLY INDUCED ABORTION INCOMPLETE WITH OTHER SPECIFIED COMPLICATIONS
635.72,LEGAL AB W COMPL OT COMP,LEGAL ABORTION W COMPL OT COMP,LEGALLY INDUCED ABORTION COMPLETE WITH OTHER SPECIFIED COMPLICATIONS
635.8,LEGAL AB W COMPL UNSP UNSP,LEGAL ABORTION W COMPL UNSP UNSP,LEGALLY INDUCED ABORTION UNSPECIFIED WITH UNSPECIFIED COMPLICATION
635.81,LEGAL AB W COMPL UNSP INC,LEGAL ABORTION W COMPL UNSP INC,LEGALLY INDUCED ABORTION INCOMPLETE WITH UNSPECIFIED COMPLICATION
635.82,LEGAL AB W COMPL UNSP COMP,LEGAL ABORTION W COMPL UNSP COMP,LEGALLY INDUCED ABORTION COMPLETE WITH UNSPECIFIED COMPLICATION
635.9,LEGAL ABORT UNCOMPL UNSP,LEGAL ABORTION UNCOMPL UNSP,LEGALLY INDUCED ABORTION UNSPECIFIED WITHOUT COMPLICATION
635.91,LEGAL ABORT UNCOMPL INC,LEGAL ABORTION UNCOMPL INC,LEGALLY INDUCED ABORTION INCOMPLETE WITHOUT COMPLICATION
635.92,LEGAL ABORT UNCOMPL COMP,LEGAL ABORTION UNCOMPL COMP,LEGALLY INDUCED ABORTION COMPLETE WITHOUT COMPLICATION
636,ILLEG ABORT W PELV INF UNSP,ILLEGAL ABORTION W PELV INF UNSP,ILLEGAL ABORTION UNSPECIFIED COMPLICATED BY GENITAL TRACT AND PELVIC INFECTION
636.01,ILLEG ABORT W PELV INF INC,ILLEGAL ABORTION W PELV INF INC,ILLEGAL ABORTION INCOMPLETE COMPLICATED BY GENITAL TRACT AND PELVIC INFECTION
636.02,ILLEG ABORT W PELV INF COMP,ILLEGAL ABORTION W PELV INF COMP,ILLEGAL ABORTION COMPLETE COMPLICATED BY GENITAL TRACT AND PELVIC INFECTION
636.1,ILLEG ABORT W HEMORR UNSPEC,ILLEGAL ABORTION W HEMORR UNSPEC,ILLEGAL ABORTION UNSPECIFIED COMPLICATED BY DELAYED OR EXCESSIVE HEMORRHAGE
636.11,ILLEG ABORT W HEMORR INC,ILLEGAL ABORTION W HEMORR INC,ILLEGAL ABORTION INCOMPLETE COMPLICATED BY DELAYED OR EXCESSIVE HEMORRHAGE
636.12,ILLEG ABORT W HEMORR COMP,ILLEGAL ABORTION W HEMORR COMP,ILLEGAL ABORTION COMPLETE COMPLICATED BY DELAYED OR EXCESSIVE HEMORRHAGE
636.2,ILLEG ABORT W PEL DAMG UNSP,ILLEGAL ABORTION W PEL DAMG UNSP,ILLEGAL ABORTION UNSPECIFIED COMPLICATED BY DAMAGE TO PELVIC ORGANS OR TISSUES
636.21,ILLEG ABORT W PEL DAMAG INC,ILLEGAL ABORTION W PEL DAMAG INC,ILLEGAL ABORTION INCOMPLETE COMPLICATED BY DAMAGE TO PELVIC ORGANS OR TISSUES
636.22,ILLEG ABORT W PEL DAMG COMP,ILLEGAL ABORTION W PEL DAMG COMP,ILLEGAL ABORTION COMPLETE COMPLICATED BY DAMAGE TO PELVIC ORGANS OR TISSUES
636.3,ILLEG ABORT W REN FAIL UNSP,ILLEGAL ABORTION W REN FAIL UNSP,ILLEGAL ABORTION UNSPECIFIED COMPLICATED BY RENAL FAILURE
636.31,ILLEG ABORT W REN FAIL INC,ILLEGAL ABORTION W REN FAIL INC,ILLEGAL ABORTION INCOMPLETE COMPLICATED BY RENAL FAILURE
636.32,ILLEG ABORT W REN FAIL COMP,ILLEGAL ABORTION W REN FAIL COMP,ILLEGAL ABORTION COMPLETE COMPLICATED BY RENAL FAILURE
636.4,ILLEG ABORT W MET DIS UNSP,ILLEGAL ABORTION W MET DIS UNSP,ILLEGAL ABORTION UNSPECIFIED COMPLICATED BY METABOLIC DISORDER
636.41,ILLEG ABORT W METAB DIS INC,ILLEGAL ABORTION W METAB DIS INC,ILLEGAL ABORTION INCOMPLETE COMPLICATED BY METABOLIC DISORDER
636.42,ILLEG ABORT W MET DIS COMP,ILLEGAL ABORTION W MET DIS COMP,ILLEGAL ABORTION COMPLETE COMPLICATED BY METABOLIC DISORDER
636.5,ILLEG ABORT W SHOCK UNSP,ILLEGAL ABORTION W SHOCK UNSP,ILLEGAL ABORTION UNSPECIFIED COMPLICATED BY SHOCK
636.51,ILLEG ABORT W SHOCK INC,ILLEGAL ABORTION W SHOCK INC,ILLEGAL ABORTION INCOMPLETE COMPLICATED BY SHOCK
636.52,ILLEG ABORT W SHOCK COMP,ILLEGAL ABORTION W SHOCK COMP,ILLEGAL ABORTION COMPLETE COMPLICATED BY SHOCK
636.6,ILLEG ABORT W EMBOLISM UNSP,ILLEGAL ABORTION W EMBOLISM UNSP,ILLEGAL ABORTION UNSPECIFIED COMPLICATED BY EMBOLISM
636.61,ILLEG ABORT W EMBOLISM INC,ILLEGAL ABORTION W EMBOLISM INC,ILLEGAL ABORTION INCOMPLETE COMPLICATED BY EMBOLISM
636.62,ILLEG ABORT W EMBOLISM COMP,ILLEGAL ABORTION W EMBOLISM COMP,ILLEGAL ABORTION COMPLETE COMPLICATED BY EMBOLISM
636.7,ILLEG ABORT W COMPL OT UNSP,ILLEGAL ABORTION W COMPL OT UNSP,ILLEGAL ABORTION UNSPECIFIED WITH OTHER SPECIFIED COMPLICATIONS
636.71,ILLEG ABORT W COMPL OT INC,ILLEGAL ABORTION W COMPL OT INC,ILLEGAL ABORTION INCOMPLETE WITH OTHER SPECIFIED COMPLICATIONS
636.72,ILLEG ABORT W COMPL OT COMP,ILLEGAL ABORTION W COMPL OT COMP,ILLEGAL ABORTION COMPLETE WITH OTHER SPECIFIED COMPLICATIONS
636.8,ILLEG ABORT W COMPL UNSP INC,ILLEGAL ABORTION W COMPL UNSP INC,ILLEGAL ABORTION UNSPECIFIED WITH UNSPECIFIED COMPLICATION
636.81,ILLEG ABORT W COMPL UNSP INC,ILLEGAL ABORTION W COMPL UNSP INC,ILLEGAL ABORTION INCOMPLETE WITH UNSPECIFIED COMPLICATION
636.82,ILLEG ABORT W UNSP COMP,ILLEGAL ABORTION W UNSP COMP,ILLEGAL ABORTION COMPLETE WITH UNSPECIFIED COMPLICATION
636.9,ILLEG ABORT UNCOMPL UNSP,ILLEGAL ABORTION UNCOMPL UNSP,ILLEGAL ABORTION UNSPECIFIED WITHOUT COMPLICATION
636.91,ILLEG ABORT UNCOMPL INC,ILLEGAL ABORTION UNCOMPL INC,ILLEGAL ABORTION INCOMPLETE WITHOUT COMPLICATION
636.92,ILLEG ABORT UNCOMPL COMP,ILLEGAL ABORTION UNCOMPL COMP,ILLEGAL ABORTION COMPLETE WITHOUT COMPLICATION
637,ABORT UNSP W PEL INF UNSP,ABORTION UNSP W PEL INF UNSP,UNSPECIFIED TYPE OF ABORTION UNSPECIFIED COMPLICATED BY GENITAL TRACT AND PELVIC INFECTION
637.01,ABORT UNSP W PEL INF INC,ABORTION UNSP W PEL INF INC,UNSPECIFIED ABORTION INCOMPLETE COMPLICATED BY GENITAL TRACT AND PELVIC INFECTION
637.02,ABORT UNSP W PEL INF COMP,ABORTION UNSP W PEL INF COMP,UNSPECIFIED ABORTION COMPLETE COMPLICATED BY GENITAL TRACT AND PELVIC INFECTION
637.1,ABORT UNSP W HEMORR UNSP,ABORTION UNSP W HEMORR UNSP,UNSPECIFIED TYPE OF ABORTION UNSPECIFIED COMPLICATED BY DELAYED OR EXCESSIVE HEMORRHAGE
637.11,ABORT UNSP W HEMORR INC,ABORTION UNSP W HEMORR INC,LEGALLY UNSPECIFIED ABORTION INCOMPLETE COMPLICATED BY DELAYED OR EXCESSIVE HEMORRHAGE
637.12,ABORT UNSP W HEMORR COMP,ABORTION UNSP W HEMORR COMP,LEGALLY UNSPECIFIED ABORTION COMPLETE COMPLICATED BY DELAYED OR EXCESSIVE HEMORRHAGE
637.2,ABORT UNSP W PELV DAMAG UNSP,ABORTION UNSP W PELV DAMAG UNSP,LEGALLY UNSPECIFIED TYPE OF ABORTION UNSPECIFIED COMPLICATED BY DAMAGE TO PELVIC ORGANS OR TISSUES
637.21,ABORT UNSP W PELV DAMAG INC,ABORTION UNSP W PELV DAMAG INC,LEGALLY UNSPECIFIED ABORTION INCOMPLETE COMPLICATED BY DAMAGE TO PELVIC ORGANS OR TISSUES
637.22,ABORT UNSP W PELV DAMAG COMP,ABORTION UNSP W PELV DAMAG COMP,LEGALLY UNSPECIFIED ABORTION COMPLETE COMPLICATED BY DAMAGE TO PELVIC ORGANS OR TISSUES
637.3,ABORT UNSP W RENAL FAIL UNSP,ABORTION UNSP W RENAL FAIL UNSP,LEGALLY UNSPECIFIED TYPE OF ABORTION UNSPECIFIED COMPLICATED BY RENAL FAILURE
637.31,ABORT UNSP W RENAL FAIL INC,ABORTION UNSP W RENAL FAIL INC,LEGALLY UNSPECIFIED ABORTION INCOMPLETE COMPLICATED BY RENAL FAILURE
637.32,ABORT UNSP W RENAL FAIL COMP,ABORTION UNSP W RENAL FAIL COMP,LEGALLY UNSPECIFIED ABORTION COMPLETE COMPLICATED BY RENAL FAILURE
637.4,ABORT UNSP W METAB DIS UNSP,ABORTION UNSP W METAB DIS UNSP,LEGALLY UNSPECIFIED TYPE OF ABORTION UNSPECIFIED COMPLICATED BY METABOLIC DISORDER
637.41,ABORT UNSP W METAB DIS INC,ABORTION UNSP W METAB DIS INC,LEGALLY UNSPECIFIED ABORTION INCOMPLETE COMPLICATED BY METABOLIC DISORDER
637.42,ABORT UNSP W METAB DIS COMP,ABORTION UNSP W METAB DIS COMP,LEGALLY UNSPECIFIED ABORTION COMPLETE COMPLICATED BY METABOLIC DISORDER
637.5,ABORT UNSP W SHOCK UNSP,ABORTION UNSP W SHOCK UNSP,LEGALLY UNSPECIFIED TYPE OF ABORTION UNSPECIFIED COMPLICATED BY SHOCK
637.51,ABORT UNSP W SHOCK INC,ABORTION UNSP W SHOCK INC,LEGALLY UNSPECIFIED ABORTION INCOMPLETE COMPLICATED BY SHOCK
637.52,ABORT UNSP W SHOCK COMP,ABORTION UNSP W SHOCK COMP,LEGALLY UNSPECIFIED ABORTION COMPLETE COMPLICATED BY SHOCK
637.6,ABORT UNSP W EMBOLISM UNSP,ABORTION UNSP W EMBOLISM UNSP,LEGALLY UNSPECIFIED TYPE OF ABORTION UNSPECIFIED COMPLICATED BY EMBOLISM
637.61,ABORT UNSP W EMBOLISM INC,ABORTION UNSP W EMBOLISM INC,LEGALLY UNSPECIFIED ABORTION INCOMPLETE COMPLICATED BY EMBOLISM
637.62,ABORT UNSP W EMBOLISM COMP,ABORTION UNSP W EMBOLISM COMP,LEGALLY UNSPECIFIED ABORTION COMPLETE COMPLICATED BY EMBOLISM
637.7,ABORT UNSP W COMPL OT UNSP,ABORTION UNSP W COMPL OT UNSP,LEGALLY UNSPECIFIED TYPE OF ABORTION UNSPECIFIED WITH OTHER SPECIFIED COMPLICATIONS
637.71,ABORT UNSP W COMPL OT INC,ABORTION UNSP W COMPL OT INC,LEGALLY UNSPECIFIED ABORTION INCOMPLETE WITH OTHER SPECIFIED COMPLICATIONS
637.72,ABORT UNSP W COMPL OT COMP,ABORTION UNSP W COMPL OT COMP,LEGALLY UNSPECIFIED ABORTION COMPLETE WITH OTHER SPECIFIED COMPLICATIONS
637.8,ABORT UNSP W COMPL UNSPEC,ABORTION UNSP W COMPL UNSPEC,LEGALLY UNSPECIFIED TYPE OF ABORTION UNSPECIFIED WITH UNSPECIFIED COMPLICATION
637.81,ABORT UNSP W COMPL INC,ABORTION UNSP W COMPL INC,LEGALLY UNSPECIFIED ABORTION INCOMPLETE WITH UNSPECIFIED COMPLICATION
637.82,ABORT UNSP W UNSP COMP,ABORTION UNSP W UNSP COMP,LEGALLY UNSPECIFIED ABORTION COMPLETE WITH UNSPECIFIED COMPLICATION
637.9,ABORT UNSP UNCOMPLICAT UNSP,ABORTION UNSP UNCOMPLICAT UNSP,LEGALLY UNSPECIFIED TYPE OF ABORTION UNSPECIFIED WITHOUT COMPLICATION
637.91,ABORT UNSP UNCOMPLICAT INC,ABORTION UNSP UNCOMPLICAT INC,LEGALLY UNSPECIFIED ABORTION INCOMPLETE WITHOUT COMPLICATION
637.92,ABORT UNSP UNCOMPLICAT COMP,ABORTION UNSP UNCOMPLICAT COMP,LEGALLY UNSPECIFIED ABORTION COMPLETE WITHOUT COMPLICATION
638,ATTEMPTED ABORT W PELVIC INF,ATTEMPTED ABORTION W PELVIC INF,FAILED ATTEMPTED ABORTION COMPLICATED BY GENITAL TRACT AND PELVIC INFECTION
638.1,ATTEMPTED ABORT W HEMORRHAGE,ATTEMPTED ABORTION W HEMORRHAGE,FAILED ATTEMPTED ABORTION COMPLICATED BY DELAYED OR EXCESSIVE HEMORRHAGE
638.2,ATTEMPTED ABORT W PELV DAMAG,ATTEMPTED ABORTION W PELV DAMAG,FAILED ATTEMPTED ABORTION COMPLICATED BY DAMAGE TO PELVIC ORGANS OR TISSUES
638.3,ATTEMPTED ABORT W RENAL FAIL,ATTEMPTED ABORTION W RENAL FAIL,FAILED ATTEMPTED ABORTION COMPLICATED BY RENAL FAILURE
638.4,ATTEMPTED ABOR W METABOL DIS,ATTEMPTED ABOR W METABOL DIS,FAILED ATTEMPTED ABORTION COMPLICATED BY METABOLIC DISORDER
638.5,ATTEMPTED ABORTION W SHOCK,ATTEMPTED ABORTION W SHOCK,FAILED ATTEMPTED ABORTION COMPLICATED BY SHOCK
638.6,ATTEMPTED ABORT W EMBOLISM,ATTEMPTED ABORTION W EMBOLISM,FAILED ATTEMPTED ABORTION COMPLICATED BY EMBOLISM
638.7,ATTEMPTED ABORT W COMPL OT,ATTEMPTED ABORTION W COMPL OT,FAILED ATTEMPTED ABORTION WITH OTHER SPECIFIED COMPLICATIONS
638.8,ATTEMPTED ABORT W COMPL UNSP,ATTEMPTED ABORTION W COMPL UNSP,FAILED ATTEMPTED ABORTION WITH UNSPECIFIED COMPLICATION
638.9,ATTEMPTED ABORT UNCOMPL,ATTEMPTED ABORTION UNCOMPL,FAILED ATTEMPTED ABORTION WITHOUT COMPLICATION
639,POSTABORTION GU INFECT,POSTABORTION GU INFECT,GENITAL TRACT AND PELVIC INFECTION FOLLOWING ABORTION OR ECTOPIC AND MOLAR PREGNANCIES
639.1,POSTABORTION HEMORRHAGE,POSTABORTION HEMORRHAGE,DELAYED OR EXCESSIVE HEMORRHAGE FOLLOWING ABORTION OR ECTOPIC AND MOLAR PREGNANCIES
639.2,POSTABORT PELVIC DAMAGE,POSTABORTION PELVIC DAMAGE,DAMAGE TO PELVIC ORGANS AND TISSUES FOLLOWING ABORTION OR ECTOPIC AND MOLAR PREGNANCIES
639.3,POSTABORT RENAL FAILURE,POSTABORTION RENAL FAILURE,RENAL FAILURE FOLLOWING ABORTION OR ECTOPIC AND MOLAR PREGNANCIES
639.4,POSTABORT METABOLIC DIS,POSTABORTION METABOLIC DIS,METABOLIC DISORDERS FOLLOWING ABORTION OR ECTOPIC AND MOLAR PREGNANCIES
639.5,POSTABORTION SHOCK,POSTABORTION SHOCK,SHOCK FOLLOWING ABORTION OR ECTOPIC AND MOLAR PREGNANCIES
639.6,POSTABORTION EMBOLISM,POSTABORTION EMBOLISM,EMBOLISM FOLLOWING ABORTION OR ECTOPIC AND MOLAR PREGNANCIES
639.8,POSTABORTION COMPL OT,POSTABORTION COMPL OT,OTHER SPECIFIED COMPLICATIONS FOLLOWING ABORTION OR ECTOPIC AND MOLAR PREGNANCIES
639.9,POSTABORTION COMPL UNSPEC,POSTABORTION COMPL UNSPEC,UNSPECIFIED COMPLICATION FOLLOWING ABORTION OR ECTOPIC AND MOLAR PREGNANCIES
640,THREATENED ABORTION UNSPEC,THREATENED ABORTION UNS EOC,THREATENED ABORTION UNSPECIFIED AS TO EPISODE OF CARE
640.01,THREATENED ABORTION DELIVER,THREATENED ABORTION DEL UNS APC,THREATENED ABORTION DELIVERED
640.03,THREATEN ABORTION ANTEPART,THREATENED ABORTION APC/C,THREATENED ABORTION ANTEPARTUM
640.8,HEMORRAGE EARLY PREG OT UNSP,HEMORRAGE EARLY PREGNANCY OT UNSP,OTHER SPECIFIED HEMORRHAGE IN EARLY PREGNANCY UNSPECIFIED AS TO EPISODE OF CARE
640.81,HEMORRAGE EARLY PREG OT DEL,HEMORRAGE EARLY PREGNANCY OT DEL,OTHER SPECIFIED HEMORRHAGE IN EARLY PREGNANCY DELIVERED
640.83,HEMORRAGE EARLY PG OT ANTE,HEMORRAGE EARLY PG OT ANTE,OTHER SPECIFIED HEMORRHAGE IN EARLY PREGNANCY ANTEPARTUM
640.9,HEMORR EARLY PREG UNSPEC,HEMORR EARLY PREGNANCY UNSPEC,UNSPECIFIED HEMORRHAGE IN EARLY PREGNANCY UNSPECIFIED AS TO EPISODE OF CARE
640.91,HEMORRAGE EARLY PREG DELIV,HEMORRAGE EARLY PREGNANCY DELIV,UNSPECIFIED HEMORRHAGE IN EARLY PREGNANCY DELIVERED
640.93,HEMORRAGE EARLY PREG ANTE,HEMORRAGE EARLY PREGNANCY ANTE,UNSPECIFIED HEMORRHAGE IN EARLY PREGNANCY ANTEPARTUM
641,PLACENTA PREVIA UNSPEC,PLACENTA PREVIA UNSPEC,PLACENTA PREVIA WITHOUT HEMORRHAGE UNSPECIFIED AS TO EPISODE OF CARE
641.01,PLACENTA PREVIA DELIVER,PLACENTA PREVIA DELIVER,PLACENTA PREVIA WITHOUT HEMORRHAGE WITH DELIVERY
641.03,PLACENTA PREVIA ANTEPART,PLACENTA PREVIA ANTEPART,PLACENTA PREVIA WITHOUT HEMORRHAGE ANTEPARTUM
641.1,PLACENTA PREV HEMORRAGE UNSP,PLACENTA PREVIA HEMORRAGE UNSP,HEMORRHAGE FROM PLACENTA PREVIA UNSPECIFIED AS TO EPISODE OF CARE
641.11,PLACENTA PREV HEMORRAGE DEL,PLACENTA PREVIA HEMORRAGE DEL,HEMORRHAGE FROM PLACENTA PREVIA WITH DELIVERY
641.13,PLACEN PREV HEMORRAGE ANTE,PLACEN PREVIA HEMORRAGE ANTE,HEMORRHAGE FROM PLACENTA PREVIA ANTEPARTUM
641.2,PREM SEPAR PLACENTA UNSPEC,PREMATURE SEPAR PLACENTA UNSPEC,PREMATURE SEPARATION OF PLACENTA UNSPECIFIED AS TO EPISODE OF CARE
641.21,PREM SEPAR PLACENTA DELIV,PREMATURE SEPAR PLACENTA DELIV,PREMATURE SEPARATION OF PLACENTA WITH DELIVERY
641.23,PREM SEPAR PLACENTA ANTEPART,PREMATURE SEPAR PLACENTA ANTEPART,PREMATURE SEPARATION OF PLACENTA ANTEPARTUM
641.3,COAG DEF HEMORRAGE UNSPEC,COAG DEF HEMORRAGE UNSPEC,ANTEPARTUM HEMORRHAGE ASSOCIATED WITH COAGULATION DEFECTS UNSPECIFIED AS TO EPISODE OF CARE
641.31,COAG DEF HEMORRAGE DELIVER,COAG DEF HEMORRAGE DELIVER,ANTEPARTUM HEMORRHAGE ASSOCIATED WITH COAGULATION DEFECTS WITH DELIVERY
641.33,COAG DEF HEMORRAGE ANTEPART,COAG DEF HEMORRAGE ANTEPART,ANTEPARTUM HEMORRHAGE ASSOCIATED WITH COAGULATION DEFECTS
641.8,ANTEPART HEMORRAGE OT UNSPEC,ANTEPARTUM HEMORRAGE OT UNSPEC,OTHER ANTEPARTUM HEMORRHAGE UNSPECIFIED AS TO EPISODE OF CARE
641.81,ANTEPARTUM HEMORRAGE OT DEL,ANTEPARTUM HEMORRAGE OT DEL,OTHER ANTEPARTUM HEMORRHAGE WITH DELIVERY
641.83,ANTEPART HEMORRAGE OT ANTE,ANTEPARTUM HEMORRAGE OT ANTE,OTHER ANTEPARTUM HEMORRHAGE
